order_id	customer_id	customer_name	product	category	quantity	price	order_date	region	payment_method	cost	revenue	profit
O0125	C147	Rahul	Bedsheet	Home & Kitchen	1	1200	2025-01-07	Madurai	Cash on Delivery	700	1200	500
O0126	C048	Meena	Bedsheet	Home & Kitchen	4	1200	2025-06-24	Chennai	Debit Card	700	4800	2000
O0127	C103	Harini	Bedsheet	Home & Kitchen	1	1200	2025-02-03	Pondicherry	UPI	700	1200	500
O0128	C145	Karthik	Mobile	Electronics	2	22000	2025-03-18	Madurai	UPI	17000	44000	10000
O0129	C107	Rahul	Jeans	Fashion	1	1800	2025-10-13	Coimbatore	Net Banking	1100	1800	700
O0130	C077	Ajay	Coffee Maker	Home & Kitchen	4	4500	2025-08-15	Salem	Debit Card	2900	18000	6400
O0131	C054	Kavya	Mobile	Electronics	5	22000	2025-02-20	Coimbatore	Debit Card	17000	110000	25000
O0132	C045	Karthik	Headphones	Electronics	2	2500	2025-05-03	Bengaluru	Credit Card	1500	5000	2000
O0133	C121	Priya	Laptop	Electronics	4	55000	2025-08-19	Madurai	UPI	42000	220000	52000
O0134	C073	Ravi	Jeans	Fashion	3	1800	2025-12-28	Pondicherry	UPI	1100	5400	2100
O0135	C051	Vijay	Jeans	Fashion	3	1800	2025-11-17	Salem	UPI	1100	5400	2100
O0136	C039	Manoj	Water Bottle	Home & Kitchen	2	700	2025-11-28	Madurai	Credit Card	350	1400	700
O0137	C079	Manoj	Headphones	Electronics	1	2500	2025-03-26	Madurai	Cash on Delivery	1500	2500	1000
O0138	C078	Deepa	Smart Watch	Electronics	4	5000	2025-12-19	Salem	Debit Card	3200	20000	7200
O0139	C113	Ravi	Desk Lamp	Home & Kitchen	5	1000	2025-09-10	Bengaluru	Net Banking	600	5000	2000
O0140	C065	Karthik	Mobile	Electronics	4	22000	2025-06-15	Chennai	UPI	17000	88000	20000
O0141	C006	Anitha	Jeans	Fashion	5	1800	2025-10-28	Madurai	Net Banking	1100	9000	3500
O0142	C133	Ravi	Mobile	Electronics	2	22000	2025-08-29	Pondicherry	Debit Card	17000	44000	10000
O0143	C126	Anitha	Mouse	Electronics	5	900	2025-08-12	Bengaluru	Cash on Delivery	500	4500	2000
O0144	C083	Harini	Saree	Fashion	4	2500	2025-06-20	Bengaluru	Credit Card	1600	10000	3600
O0145	C127	Rahul	Backpack	Fashion	4	1500	2025-12-22	Madurai	Cash on Delivery	900	6000	2400
O0146	C023	Harini	Water Bottle	Home & Kitchen	1	700	2025-08-21	Trichy	Debit Card	350	700	350
O0147	C132	Nisha	Backpack	Fashion	1	1500	2025-07-26	Chennai	Net Banking	900	1500	600
O0148	C049	Arun	Cookware Set	Home & Kitchen	4	2800	2025-01-28	Trichy	Net Banking	1800	11200	4000
O0149	C053	Ravi	Bedsheet	Home & Kitchen	4	1200	2025-01-27	Madurai	Net Banking	700	4800	2000
O0150	C125	Karthik	Keyboard	Electronics	3	1800	2025-08-13	Bengaluru	UPI	1100	5400	2100
O0151	C142	Sanjay	Jeans	Fashion	2	1800	2025-06-09	Chennai	Net Banking	1100	3600	1400
O0152	C030	Swetha	Mixer Grinder	Home & Kitchen	1	3500	2025-04-26	Pondicherry	UPI	2300	3500	1200
O0153	C131	Vijay	Keyboard	Electronics	4	1800	2025-05-30	Madurai	Cash on Delivery	1100	7200	2800
O0154	C117	Ajay	Bedsheet	Home & Kitchen	4	1200	2025-05-05	Hyderabad	Cash on Delivery	700	4800	2000
O0155	C035	Suresh	T-Shirt	Fashion	5	800	2025-09-18	Bengaluru	Debit Card	450	4000	1750
O0156	C069	Arun	Mixer Grinder	Home & Kitchen	3	3500	2025-09-17	Chennai	Debit Card	2300	10500	3600
O0157	C126	Anitha	Hoodie	Fashion	5	2200	2025-10-24	Hyderabad	Cash on Delivery	1400	11000	4000
O0158	C086	Anitha	Water Bottle	Home & Kitchen	4	700	2025-06-26	Salem	Cash on Delivery	350	2800	1400
O0159	C062	Sanjay	Backpack	Fashion	2	1500	2025-12-24	Salem	Credit Card	900	3000	1200
O0160	C122	Sanjay	Mixer Grinder	Home & Kitchen	1	3500	2025-06-12	Salem	Cash on Delivery	2300	3500	1200
O0161	C033	Ravi	Keyboard	Electronics	4	1800	2025-01-19	Trichy	UPI	1100	7200	2800
O0162	C117	Ajay	Cookware Set	Home & Kitchen	1	2800	2025-09-27	Chennai	Credit Card	1800	2800	1000
O0163	C121	Priya	Mixer Grinder	Home & Kitchen	2	3500	2025-02-08	Madurai	Debit Card	2300	7000	2400
O0164	C137	Ajay	Coffee Maker	Home & Kitchen	1	4500	2025-06-18	Salem	Debit Card	2900	4500	1600
O0165	C018	Deepa	Bedsheet	Home & Kitchen	5	1200	2025-01-19	Coimbatore	Debit Card	700	6000	2500
O0166	C026	Anitha	Jeans	Fashion	1	1800	2025-08-11	Bengaluru	Cash on Delivery	1100	1800	700
O0167	C012	Nisha	Mouse	Electronics	3	900	2025-01-15	Trichy	UPI	500	2700	1200
O0168	C111	Vijay	Hoodie	Fashion	3	2200	2025-07-11	Hyderabad	Credit Card	1400	6600	2400
O0169	C047	Rahul	Desk Lamp	Home & Kitchen	4	1000	2025-10-17	Hyderabad	Credit Card	600	4000	1600
O0170	C062	Sanjay	Headphones	Electronics	5	2500	2025-07-15	Pondicherry	Net Banking	1500	12500	5000
O0171	C066	Anitha	Keyboard	Electronics	2	1800	2025-08-25	Pondicherry	Debit Card	1100	3600	1400
O0172	C140	Keerthana	Laptop	Electronics	4	55000	2025-05-28	Hyderabad	UPI	42000	220000	52000
O0173	C077	Ajay	Cookware Set	Home & Kitchen	3	2800	2025-10-28	Salem	Debit Card	1800	8400	3000
O0174	C099	Manoj	Cookware Set	Home & Kitchen	3	2800	2025-04-12	Pondicherry	UPI	1800	8400	3000
O0175	C092	Nisha	Jeans	Fashion	4	1800	2025-10-20	Madurai	Debit Card	1100	7200	2800
O0176	C003	Harini	Laptop	Electronics	4	55000	2025-05-21	Chennai	Net Banking	42000	220000	52000
O0177	C091	Vijay	Bedsheet	Home & Kitchen	3	1200	2025-04-28	Coimbatore	Credit Card	700	3600	1500
O0178	C025	Karthik	Shoes	Fashion	2	3000	2025-11-18	Chennai	Debit Card	1900	6000	2200
O0179	C094	Kavya	Cookware Set	Home & Kitchen	1	2800	2025-10-24	Hyderabad	UPI	1800	2800	1000
O0180	C045	Karthik	Hoodie	Fashion	3	2200	2025-08-01	Coimbatore	Credit Card	1400	6600	2400
O0181	C129	Arun	Water Bottle	Home & Kitchen	3	700	2025-09-29	Madurai	Credit Card	350	2100	1050
O0182	C087	Rahul	Shoes	Fashion	4	3000	2025-06-01	Bengaluru	Cash on Delivery	1900	12000	4400
O0183	C102	Sanjay	Headphones	Electronics	2	2500	2025-04-26	Trichy	UPI	1500	5000	2000
O0184	C138	Deepa	Coffee Maker	Home & Kitchen	1	4500	2025-05-16	Bengaluru	Cash on Delivery	2900	4500	1600
O0185	C098	Deepa	Saree	Fashion	3	2500	2025-10-27	Trichy	UPI	1600	7500	2700
O0186	C144	Divya	Jeans	Fashion	4	1800	2025-01-13	Trichy	Net Banking	1100	7200	2800
O0187	C119	Manoj	Jeans	Fashion	1	1800	2025-11-22	Madurai	Cash on Delivery	1100	1800	700
O0188	C010	Swetha	Smart Watch	Electronics	2	5000	2025-01-24	Madurai	Cash on Delivery	3200	10000	3600
O0189	C138	Deepa	Smart Watch	Electronics	1	5000	2025-05-01	Hyderabad	Cash on Delivery	3200	5000	1800
O0190	C139	Manoj	Cookware Set	Home & Kitchen	3	2800	2025-12-10	Salem	Net Banking	1800	8400	3000
O0191	C026	Anitha	Keyboard	Electronics	4	1800	2025-12-02	Pondicherry	Net Banking	1100	7200	2800
O0192	C095	Suresh	Mixer Grinder	Home & Kitchen	3	3500	2025-01-17	Coimbatore	Cash on Delivery	2300	10500	3600
O0193	C026	Anitha	Cookware Set	Home & Kitchen	2	2800	2025-07-05	Trichy	Net Banking	1800	5600	2000
O0194	C071	Vijay	Saree	Fashion	1	2500	2025-07-23	Coimbatore	UPI	1600	2500	900
O0195	C055	Suresh	Cookware Set	Home & Kitchen	1	2800	2025-12-06	Chennai	UPI	1800	2800	1000
O0196	C145	Karthik	Backpack	Fashion	2	1500	2025-03-06	Coimbatore	UPI	900	3000	1200
O0197	C056	Pooja	Water Bottle	Home & Kitchen	2	700	2025-10-28	Coimbatore	Debit Card	350	1400	700
O0198	C071	Vijay	Keyboard	Electronics	5	1800	2025-01-02	Hyderabad	Credit Card	1100	9000	3500
O0199	C029	Arun	Water Bottle	Home & Kitchen	3	700	2025-03-31	Chennai	Credit Card	350	2100	1050
O0200	C083	Harini	Laptop	Electronics	3	55000	2025-05-02	Chennai	Credit Card	42000	165000	39000
O0201	C108	Meena	Shoes	Fashion	1	3000	2025-03-06	Bengaluru	UPI	1900	3000	1100
O0202	C132	Nisha	Bedsheet	Home & Kitchen	4	1200	2025-07-05	Bengaluru	Cash on Delivery	700	4800	2000
O0203	C012	Nisha	Desk Lamp	Home & Kitchen	2	1000	2025-11-11	Madurai	Cash on Delivery	600	2000	800
O0204	C103	Harini	Laptop	Electronics	1	55000	2025-09-03	Salem	UPI	42000	55000	13000
O0205	C021	Priya	Bedsheet	Home & Kitchen	4	1200	2025-02-07	Trichy	Net Banking	700	4800	2000
O0206	C071	Vijay	Keyboard	Electronics	1	1800	2025-03-06	Trichy	Cash on Delivery	1100	1800	700
O0207	C130	Swetha	Desk Lamp	Home & Kitchen	3	1000	2025-08-21	Salem	UPI	600	3000	1200
O0208	C111	Vijay	Smart Watch	Electronics	5	5000	2025-04-21	Pondicherry	Credit Card	3200	25000	9000
O0209	C103	Harini	Mixer Grinder	Home & Kitchen	3	3500	2025-08-21	Salem	UPI	2300	10500	3600
O0210	C066	Anitha	Backpack	Fashion	4	1500	2025-06-10	Trichy	Credit Card	900	6000	2400
O0211	C022	Sanjay	Bedsheet	Home & Kitchen	1	1200	2025-02-16	Bengaluru	Cash on Delivery	700	1200	500
O0212	C143	Harini	Smart Watch	Electronics	3	5000	2025-03-08	Chennai	Net Banking	3200	15000	5400
O0213	C032	Nisha	Water Bottle	Home & Kitchen	5	700	2025-06-18	Salem	Debit Card	350	3500	1750
O0214	C080	Keerthana	Mixer Grinder	Home & Kitchen	1	3500	2025-05-28	Trichy	UPI	2300	3500	1200
O0215	C124	Divya	Desk Lamp	Home & Kitchen	2	1000	2025-03-21	Coimbatore	UPI	600	2000	800
O0216	C030	Swetha	Saree	Fashion	5	2500	2025-07-08	Madurai	Net Banking	1600	12500	4500
O0217	C143	Harini	Jeans	Fashion	4	1800	2025-10-15	Chennai	Net Banking	1100	7200	2800
O0218	C070	Swetha	Shoes	Fashion	1	3000	2025-04-03	Madurai	Debit Card	1900	3000	1100
O0219	C037	Ajay	Saree	Fashion	1	2500	2025-04-03	Salem	UPI	1600	2500	900
O0220	C136	Pooja	Keyboard	Electronics	1	1800	2025-02-16	Coimbatore	Cash on Delivery	1100	1800	700
O0221	C041	Priya	Mixer Grinder	Home & Kitchen	4	3500	2025-06-24	Trichy	Debit Card	2300	14000	4800
O0222	C022	Sanjay	Backpack	Fashion	5	1500	2025-11-02	Chennai	Credit Card	900	7500	3000
O0223	C021	Priya	Mouse	Electronics	5	900	2025-01-26	Madurai	Cash on Delivery	500	4500	2000
O0224	C114	Kavya	Mixer Grinder	Home & Kitchen	4	3500	2025-11-07	Salem	Debit Card	2300	14000	4800
O0225	C089	Arun	T-Shirt	Fashion	5	800	2025-02-28	Salem	UPI	450	4000	1750
O0226	C135	Suresh	Hoodie	Fashion	5	2200	2025-09-07	Madurai	UPI	1400	11000	4000
O0227	C015	Suresh	Jeans	Fashion	4	1800	2025-11-03	Chennai	Credit Card	1100	7200	2800
O0228	C066	Anitha	Hoodie	Fashion	2	2200	2025-03-12	Madurai	Debit Card	1400	4400	1600
O0229	C111	Vijay	Smart Watch	Electronics	1	5000	2025-09-12	Hyderabad	Credit Card	3200	5000	1800
O0230	C059	Manoj	Coffee Maker	Home & Kitchen	5	4500	2025-12-27	Trichy	UPI	2900	22500	8000
O0231	C005	Karthik	Coffee Maker	Home & Kitchen	1	4500	2025-08-12	Pondicherry	UPI	2900	4500	1600
O0232	C147	Rahul	Backpack	Fashion	5	1500	2025-08-08	Salem	Cash on Delivery	900	7500	3000
O0233	C006	Anitha	Hoodie	Fashion	1	2200	2025-07-27	Trichy	Credit Card	1400	2200	800
O0234	C112	Nisha	Cookware Set	Home & Kitchen	3	2800	2025-02-15	Bengaluru	Credit Card	1800	8400	3000
O0235	C135	Suresh	Mixer Grinder	Home & Kitchen	5	3500	2025-07-25	Bengaluru	Cash on Delivery	2300	17500	6000
O0236	C086	Anitha	Hoodie	Fashion	3	2200	2025-04-24	Hyderabad	UPI	1400	6600	2400
O0237	C131	Vijay	Desk Lamp	Home & Kitchen	1	1000	2025-09-29	Coimbatore	Debit Card	600	1000	400
O0238	C027	Rahul	Saree	Fashion	2	2500	2025-05-01	Hyderabad	Debit Card	1600	5000	1800
O0239	C040	Keerthana	T-Shirt	Fashion	2	800	2025-11-05	Bengaluru	Credit Card	450	1600	700
O0240	C149	Arun	Bedsheet	Home & Kitchen	4	1200	2025-10-16	Pondicherry	Net Banking	700	4800	2000
O0241	C113	Ravi	Backpack	Fashion	3	1500	2025-03-19	Bengaluru	Cash on Delivery	900	4500	1800
O0242	C015	Suresh	Cookware Set	Home & Kitchen	3	2800	2025-05-21	Trichy	Net Banking	1800	8400	3000
O0243	C116	Pooja	Headphones	Electronics	3	2500	2025-08-25	Chennai	UPI	1500	7500	3000
O0244	C024	Divya	Saree	Fashion	3	2500	2025-02-09	Salem	Cash on Delivery	1600	7500	2700
